VendorName,SectionName,ContrrolName,SecurityQuestions,SolutionResponse,SolutionComments,Most Relevant Responses,Keywords for Most Relevant
CORL,Maintenance,Timely Maintenance,"Is there a maintenance contract with the vendor to provide timely maintenance in the event of a failure of the information system? (E.g., spare parts on hand, response times from the vendor or other personnel, documented in OLA/SLA agreements.)",Yes,Comment is required,,
CORL,,Media Protection,Is all removable media stored only on-site within a recognized data center?,N/A,PHI is not stored on-site and it is stored on AWS/ClearDATA S3 storage,,
CORL,Media Protection,Media Protection Policy and Procedures,"Are there formally documented policies and procedures for Media Protection? If yes, please attach.",N/A,PHI is not stored on-site and it is stored on AWS/ClearDATA S3 storage,,
CORL,Media Protection,Media Access,"Is access to media associated with the information system (diskettes, hard disk drives, flash drives, CDs, paper, microfilm, etc.) restricted to authorized personnel? ",Yes,Comment is required,,
CORL,Media Protection,Media Marking,"Is any media containing sensitive data marked to indicate distribution limitations, handling caveats, ownership, and any applicable security markings if it is removed from a controlled area?",Yes,Comment is required,,
CORL,Media Protection,Media Storage,"Is the media stored is a secure location? (E.g., data center, locked office or cabinet.)",Yes,Comment is required,,
CORL,Media Protection,Media Transport,Does media related to this information system get transported outside of the controlled environment?,No,PHI is not stored on-site and it is stored on AWS/ClearDATA S3 storage,,
CORL,Media Protection,,"Do you maintain accountability during the transport of the media outside of the controlled area, documenting transport activities and restricting transport activities to associated personnel?",N/A,PHI is not stored on-site and it is stored on AWS/ClearDATA S3 storage,,
CORL,Media Protection,Media Sanitization,"Is the media sanitized prior to destruction, disposal, re-use, or release? (I.e., degaussed.)",Yes,Comment is required,,
CORL,Media Protection,Media Use,"Are there any restrictions on the types of storage media that can connect to the information system? (E.g., restricting or prohibiting the use of flash drives or external hard disk drives.)",Yes,Comment is required,,
CORL,Media Protection,,"Are there technical or nontechnical safeguards (e.g., policies, procedures, rules of behavior) in place to enforce the media restriction(s)?",Yes,Comment is required,,
CORL,Physical Security,"Physical and Environmental Protection
Policy and Procedures","Are the servers and other equipment located within a certifed data center? If yes, please provide the name of the data center and the certifications maintained, in the comments section.",Yes,ClearDATA is a health data cloud platform and provide IaaS to Prognos and it HITRUST and SOC2type2 certified,,
CORL,Physical Security,Physical Access Authorizations,Is there a documented and current list of personnel with authorized access to the facility where the information system resides?,Yes,Comment is required,,
CORL,Physical Security,,Is the access list detailing the individuals with authorized facility access periodically reviewed?,Yes,Comment is required,,
CORL,Physical Security,,Are individuals no longer requiring facility access removed from the list?,Yes,Comment is required,,
CORL,Physical Security,Physical Access Control,"Are there controls in place to verify individual access before granting access to the facility where the information system resides? (E.g., card readers.)",N/A,"There is no physical access. For virtual access we have a virtual clean room through which PHI can be accessed and access to the virtual clean room is restricted to the authorized individual which is based on IP whitelisting so only whitelisted IP can access PHI and it goes through a proper change management process, requires different approval and discussed in the info sec commitee meeting, Futhermore they need to connect through a VPN which is secured and encrypted. Access to virtual clean rooom is logged logically and not physically ",,
CORL,Physical Security,,Do you maintain physical access audit logs for the necessary entry/exit points?,Yes,Access to what company facilities exist are managed via card access,,
CORL,Physical Security,,"Are there any components of the information system available in a public area? (For example, a client on a public or publicly visible workstation.) If yes, detail in the comment how this access is controlled. ",No,,,
CORL,Physical Security,,Do you escort visitors and monitor visitor activity?,Yes,Comment is required,,
CORL,Physical Security,,"Are keys, combinations, and other physical access devices secured?",Yes,Comment is required,,
CORL,Physical Security,,Are physical access devices inventoried and periodically reviewed?,Yes,Comment is required,,
CORL,Physical Security,,"Are combinations and keys changed periodically or when keys are lost, combinations are compromised, or individuals are transferred or terminated?",N/A,Prognos does not utilize keys or combinations,,
CORL,Physical Security,Access Control for Transmission Medium,"Are phone lines, internet lines, energy lines, and other wires protected from environmental damage or access from unauthorized individuals? (E.g., locking wiring closets, disconnecting or locking spare jacks, protecting cabling by conduit or cable trays.)",Yes,Comment is required,,
CORL,Physical Security,Access Control for Output Devices,"Are monitors, printers, and audio devices physically secured so that unauthorized individuals may not obtain information from the output? ",Yes,Comment is required,,
CORL,Physical Security,Monitoring Physical Access,Is there monitoring  of physical access to the facility where the information system resides to detect and respond to physical security incidents?,Yes,Comment is required,,
CORL,Physical Security,,Are physical access logs reviewed?,Yes,Comment is required,,
CORL,Physical Security,,Are the results of the review and investigation available for the incident response team?,Yes,Comment is required,,
CORL,Physical Security,Visitor Access Records,Do you maintain visitor access records to the facility where the information system resides?,N/A,"There is no physical access. For virtual access we have a virtual clean room through which PHI can be accessed and access to the virtual clean room is restricted to the authorized individual which is based on IP whitelisting so only whitelisted IP can access PHI and it goes through a proper change management process, requires different approval and discussed in the info sec commitee meeting, Futhermore they need to connect through a VPN which is secured and encrypted. Access to virtual clean rooom is logged logically and not physically ",,
CORL,Physical Security,,Are the visitor access records reviewed on a regular basis?,Yes,Comment is required,,
CORL,Physical Security,Emergency Shutoff,Are there emergency power shutoffs in easily accessible areas that are protected from unauthorized activation?,Yes,Comment is required,,
CORL,Physical Security,Emergency Power,"Is there short-term, uninterruptible power supply (UPS) to facilitate the transition of the information system to the long-term alternate power source in the event of a primary power source loss?",Yes,Comment is required,,
CORL,Physical Security,Emergency Lighting,Do you maintain automatic emergency lighting that activates in the event of a power outage and that covers emergency exits and evacuation routes within the facility?  ,Yes,Comment is required,,
CORL,Physical Security,Fire Protection,Do you use and maintain fire suppression and detection devices/systems for the information system that are supported by an independent energy source?,Yes,Comment is required,,
CORL,Physical Security,Temperature and Humidity Controls,Do you regularly monitor and maintain temperature and humidity in an acceptable level within the facility? ,Yes,Comment is required,,
CORL,Physical Security,Water Damage Protection,"Is the information system protected from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel?",Yes,Comment is required,,
CORL,Physical Security,Delivery and Removal,"Do you authorize, monitor, and control information system components entering and exiting the facility and maintain records of those items?",Yes,Comment is required,,
CORL,Physical Security,Alternate Work Site,"In the event of an emergency, has an alternate work site with effective physical security controls been designated?",Yes,Comment is required,,
CORL,Physical Security,Location of Information System Components,Do you position information system components to minimize potential damage from physical and environmental hazards or to minimize unauthorized access?,N/A,We only use cloud based systems,,
CORL,Planning,Security Planning Policy and Procedures,"Is there a security plan for this information system? If yes, please attach.",Yes,Please see "Prognos Policy - Information Security Program",,
CORL,Planning,System Security Plan,"Does the security plan: 
- Explicitly define the authorization boundary for the system;
- Describe the operational context of the information system in terms of missions and business processes;
- Provide the security categorization of the information system including supporting rationale;
- Describe the operational environment for the information system and relationships with or connections to other information systems;
- Provide an overview of the security requirements for the system;
- Describes the security controls that are in place at a high level; 
- Get reviewed and approved by the authorizing official or designated representative prior to plan implementation
",Yes,Please see "Prognos Policy - Information Classification and Handling",,
CORL,Planning,,Are copies of the security plan distributed and subsequent changes communicated to key personnel?,Yes,Comment is required,,
CORL,Planning,,Is the security plan periodically reviewed?,Yes,Comment is required,,
CORL,Planning,,Is the plan updated to address changes in the environment?,Yes,Comment is required,,
CORL,Planning,,Is the security plan protected from unauthorized disclosure and modification?,Yes,Comment is required,,
CORL,Planning,Rules of Behavior,Are there established and readily available rules of behavior that describe the responsibilities and expected behavior of users for this information system?,Yes,Comment is required,,
CORL,Planning,,"Do users indicate that they have read, understood, and agree to abide by the rules of behavior before authorizing access to information and the information system? If yes, how is this documented?",Yes,All users are required to sign an attestation that they have read and will comply with security policies and procedures,,
CORL,Planning,,Are the rules of behavior updated?,Yes,Comment is required,,
CORL,Planning,,Are users required to read and resign when the rules of behavior are updated?,Yes,Comment is required,,
CORL,Planning,Information Security Architecture,Does the organization have a comprehensive information security architecture for their information system?,Yes,Comment is required,,
CORL,Planning,,Does the organization describe how the information security architecture is integrated into and supports the enterprise architecture?,Yes,Comment is required,,
CORL,Planning,,Does the organization describe any information security assumptions and dependencies on external services?,Yes,Comment is required,,
CORL,Personnel Security,Personnel Security Policies and Procedures ,"Are there formally documented policies and procedures for Personnel Security? If yes, please attach.",Yes,Please see "Prognos Policy - Workforce Security",,
CORL,Personnel Security,Position Risk Designation,Does the organization assign risk designations to all positions?,Yes,Comment is required,,
CORL,Personnel Security,,Does the organization establish screening criteria for individuals filling those positions?,Yes,Comment is required,,
CORL,Personnel Security,,Does the organization review and revise position risk designations at least every three years?,Yes,Comment is required,,
CORL,Personnel Security,Personnel Screening,Does the organization screen individuals prior to authorizing access to the information system?,Yes,Comment is required,,
CORL,Personnel Security,,Does the organization re-screen individuals with access to the information system?,Yes,Comment is required,,
CORL,Personnel Security,Personnel Termination,Does the organization have appropriate termination procedures in place to those with access to the information system?,Yes,Comment is required,,
CORL,Personnel Security,Personnel Transfer,Does the organization have appropriate transfer procedures in place to those with access to the information system?,No,Prognos prohibits the transfer of access it can only be terminated and created new.,,
CORL,Personnel Security,Access Agreements,Does the organization have access agreements (reviewed annually) for individuals with access to the information system?,Partial,It is not the agreement signed by the individual users having access to virtual clean room however authorized individual's name is mentioned in the virtual clean room SoP which is reviewed annually,,
CORL,Personnel Security,Third Party Personnel Security,Does the organization have appropriate third-party access control procedures for external parties granted access to the information system?,Yes,Comment is required,,
CORL,Personnel Security,Personnel Sanctions,Does the organization have appropriate personnel sanctions policies and procedures?,Yes,Comment is required,,
CORL,Risk Assessment,Risk Assessment Policy and Procedures,"Are there formally documented policies and procedures for Risk Assessments? If yes, please attach.",Yes,"""Please refer to the following documents . 1) Prognos Policy - Risk management. pdf
",,
CORL,,Security Categorization ,"Does the organization categorize information and the information system in accordance with applicable Federal Laws, Executive Orders, directives, policies, regulations, standards and guidance?",Yes,Comment is required,,
CORL,Risk Assessment,Risk Assessment,"Does the organization conduct a risk assessment including the likelihood and impact of harm, from the unauthorized access, use, disclosure, disruption, modification or destruction of the information system and the information it processes, stores or transmits?",Yes,"Our Risk management framework is an Asset based approach in lines with NIST 800-30. The methodology is 1) Risk Assessment - Listing down information assets, identification and valuation of threats and vulnerabilities and identification of threats that may exploit the vulnerability. 2) Risk Analysis - Mostly a Qualitative one which may have an impact to the Confidentiality, Integrity and Availability on the information assets  3) Risk Response - The strategies for Risk response is directly proportionate to the risk to the Information Asset.   3.1) Risk elimination/mitigation/reduction - Either by putting a control or the compensating control and the residual risk is any ways accepted   3.2) Risk avoidance   3.3) Risk acceptance   3.4) Risk transference  4) Risk Monitoring - The result of Risk analysis and Risk Response are documented in Corrective action plans (CAP) and are reviewed for consistency",,
CORL,Risk Assessment,Vulnerability Scanning,"
",Yes,Most recent scan done on  cleardata is in October 2018,,
CORL,System Acquisition,System and Services Acquisition Policy and Procedure,"Are there formally documented policies and procedures for System and Services Acquisitions? If yes, please attach.",Yes,Please see "Prognos SOP - Asset Management Lifecycle",,
CORL,System Acquisition,Allocation of Resources,Does the organization adequately allocate resources to allow for the information system to run safely and efficiently?,Yes,Comment is required,,
CORL,System Acquisition,System Development Life Cycle,Does the organization define a comprehensive life cycle for the information system?,Yes,Comment is required,,
CORL,System Acquisition,Acquisition Process,"Does the organization include the requirements, descriptions, and criteria, explicitly or by reference, in the acquisition contract for the information system, system component, or information system service in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, guidelines, and organizational mission/business needs",Yes,Comment is required,,
CORL,System Acquisition,Information System Documentation,"Do you have administrator documentation for this information system that describes:
1. Secure configuration, installation, and operation of the system, component, or service; 
2. Effective use and maintenance of security functions/mechanisms; and
3. Known vulnerabilities regarding configuration and use of administrative (i.e., privileged) functions;
",Yes,Comment is required,,
CORL,System Acquisition,,"Do you have user documentation for this information system that describes:
1. User-accessible security functions/mechanisms and how to effectively use those security functions/mechanisms;
2. Methods for user interaction, which enables individuals to use the system, component, or service in a more secure manner; and
3. User responsibilities in maintaining the security of the system, component, or service.
",Yes,Comment is required,,
CORL,System Acquisition,,"If documentation for this information system is unavailable or nonexistent, is the attempt to obtain such documentation recorded?",Yes,Comment is required,,
CORL,System Acquisition,,Is the documentation protected as required and only distributed to authorized personnel?,Yes,Comment is required,,
CORL,System Acquisition,Security Engineering Principles,"Does the organization apply information system security engineering principles in the specification, design, development, implementation, and modification of the information system.",Yes,We use secure Agile workflow model,,
CORL,System Acquisition,External Information System Services,"Does the organization require that providers of external information system services comply with organizational information security requirements in accordance with applicable Federal Laws, Executive Orders, directives, policies, regulations, standards and guidance?",Yes,Comment is required,,
CORL,System Acquisition,Developer Configuration Management,"Does the organization require the developer of the information system, system component or information system service to perform configuration, document the changes and implement only organization-approved configuration changes?",Yes,"Change control procedures are followed for all operational systems, which may hold only approved programs or executable code (i.e. no development code or compilers).",,
CORL,System Acquisition,Developer Security Testing and Evaluation,"Does the organization require the developer of the information system, system component, or information system service to create and implement a security assessment plan, perform tests/evaluations and produce evidence of the execution of the security assessment plan?",Yes,Comment is required,,
CORL,System Acquisition,Supply Chain Protection,"Does the organization protect against supply chain threats to the information system, system component, or information system service by employing a Vendor Risk Management fucntion as part of a comprehensive, defense-in-breadth information security strategy?",Yes,Comment is required,,
CORL,System Data Protection,"System and Communications Protection
Policy and Procedures","Do you have formally documented policies and procedures for System and Communications Protection? If yes, please attach.",Yes,"Please refer to the following document . 1)Prognos SOP_ Asset Management Procedure.pdf 
",,
CORL,System Data Protection,Application Partitioning,Does the information system separate user functionality (including user interface services) from information system management functionality?,Yes,Comment is required,,
CORL,System Data Protection,Information in Shared Resources,Does the information system prevent unauthorized and unintended information transfer via shared system resources?,Yes,Most systems are indempotent from each other. Where there are shared services like AWS/ClearDATA S3 it has safeguards to prevent sharing.,,
CORL,System Data Protection,Denial of Service Protection,Does the information system protect against or limits the effect of DOS/DDOS attacks?,Yes,Comment is required,,
CORL,System Data Protection,Resource Availability,Does the information system protect the availability of resources by appropriately allocating those resources?,Yes,Comment is required,,
CORL,System Data Protection,Boundary Protection,Does the application/system monitor and control communications at the external boundary of the system and at key internal boundaries?,Yes,"The application/system is being monitored at the cleardata front by a SIEM tool and any suspicious activity is reported to Prognos as an alert however at Prognos boundary protection, the authorized users have white-listed IPs and connect through a secured channel via VPN.",,
CORL,System Data Protection,,Does the application/system connect to external networks or information systems only through managed interfaces with boundary protection devices in place?,Yes,Comment is required,,
CORL,System Data Protection,,Do you physically allocate publicly accessible information system components to separate sub networks with separate physical network interfaces?,Yes,Comment is required,,
CORL,System Data Protection,,Do you prevent public access into the organization’s internal networks except as appropriately mediated by managed interfaces employing boundary protection devices?,Yes,Comment is required,,
CORL,System Data Protection,,"Does the system connect to other information systems only through managed interfaces, deny network traffic by default, and allow network traffic by exception (i.e., deny all, permit by exception)?",Yes,Comment is required,,
CORL,System Data Protection,Transmission Confidentiality and Integrity,"Does the application/system utilize crytopgraphic protocols to protect the integrity of transmitted information? If yes, how is this achieved (e.g., SSL 2, SSL 3, TLS 1.0)? ",Yes,Comment is required,,
CORL,System Data Protection,,Does the application/system employ cryptographic mechanisms to recognize changes to information during transmission (such as hashing algorithms)? ,Yes,Comment is required,,
CORL,System Data Protection,Network Disconnect,Does the information system terminate network connection associated with a communication session at the end of the session or after no longer than 30 minutes of inactivity?,Yes,Comment is required,,
CORL,System Data Protection,"Cryptographic Key Establishment and
Management","Are cryptographic keys established and managed? If no, detail why in the comment. ",Yes,Comment is required,,
CORL,System Data Protection,Cryptographic Protection,"Does the information system use cryptographic protections? If yes, detail the encryption algorithm and strength in the comment (AES 128, 3DES, etc.)",Yes,PC Hard drive full encryption backup encryption is encrypted with not less than AES -256 bit.,,
CORL,System Data Protection,Collaborative Computing Devices,"Does the information system support the use of collaborative computing devices (e.g., networked white boards, cameras, microphones)?",No,Comment is required,,
CORL,System Data Protection,,Is remote activation prohibited?,Yes,Comment is required,,
CORL,System Data Protection,,"Does the device indicate to the user that it is actively in use? (E.g., activated microphone or camera has an  illuminated indicator light.)",N/A,There are no indicators because there are no such devices,,
CORL,System Data Protection,Public Key Infrastructure Certificates,Does the organization issue public key certificates or obtain public key certificates from an approved service provider?,Yes,Comment is required,,
CORL,System Data Protection,Mobile Code,"Does the organization define acceptable and unacceptable mobile code and mobile code technologies, establish usage restrictions for mobile technologies and monitor and control the use of mobile codes and mobile code technologies within the information system?",N/A,No mobile technology is permitted,,
CORL,System Data Protection,Voice Over Internet Protocol,Does the  organization establish usage restrictions and implementation guidance for Voice over Internet Protocol (VoIP) technologies based on the potential to cause damage to the information system if used maliciously?,N/A,"Once the user connects to the virtual clean room all the other services gets disabled like file transfer, disk sharing, Bluetooth sharing  and file sharing including VoIP",,
CORL,System Data Protection,Secure Name/Address Resolution Service (Authoritative Source),Does the information system provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries?,N/A,"DNS managed by ClearDATA and AWS. ClearDATA manages the production environment within AWS per HITRUST requirements. As far as the endpoints, users all remotely connect from their residences with their laptops and so will be configured to use their respective ISP's DNS for name resolution",,
CORL,System Data Protection,Secure Name/Address Resolution Service (Recursive or Caching Resolver),Does the information system request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources?,N/A,"DNS managed by ClearDATA and AWS. ClearDATA manages the production environment within AWS per HITRUST requirements. As far as the endpoints, users all remotely connect from their residences with their laptops and so will be configured to use their respective ISP's DNS for name resolution",,
CORL,System Data Protection,Architecture and Provisioning for Name/Address Resolution Service,Does the information system collectively provide name/address resolution service for an organization are fault-tolerant and implement internal/external role separation?,N/A,"DNS managed by ClearDATA and AWS. ClearDATA manages the production environment within AWS per HITRUST requirements. As far as the endpoints, users all remotely connect from their residences with their laptops and so will be configured to use their respective ISP's DNS for name resolution",,
CORL,System Data Protection,Session Authenticity,Does the information system protect the authenticity of communication sessions?,Yes,Comment is required,,
CORL,System Data Protection,Protection of Information at Rest,"Does the organization support the capability to use cryptographic mechanisms to protect information at rest?  If yes, please provide the encryption algorithm and strength in the comments section.",Yes,"1) All the virtual clean room laptops are enabled with Filevault disk encryption which encrypts the drive using 128 bit AES block ciphers with a 256 bit key 2) At ClearDATA the storage volumes for all SFTPs are fully encrypted in compliance with HIPAA 45CFR 164.312(a)2(iv).
Prognos performs a monthly audit on both the systems for HIPAA compliance",,
CORL,System Data Protection,Process Isolation,"Does the operating system utilize separate address spaces for executing processes?  (Is hardware memory management utilized? Linux - example allow_execheap, allow_execmem, allow_execmod, allow_exectack.)",Yes,2) At clearData the storage volumes for all SFTPs are fully encrypted in compliance with HIPAA 45CFR 164.312(a)2(iv).,,
CORL,System Data Integrity,"System and Information Integrity Policy and
Procedures","Do you have formally documented policies and procedures for System and Information Integrity? If yes, please attach.",Yes,Please see "Prognos SOP - System Integrity Procedures",,
CORL,System Data Integrity,Flaw Remediation,"Are information system flaws identified, reported, and corrected? (I.e., are vulnerability scans performed and addressed?)",Yes,Comment is required,,
CORL,System Data Integrity,,Are software and firmware updates tested for effectiveness and potential side effects before installation?,Yes,Comment is required,,
CORL,System Data Integrity,,Is flaw remediation incorporated into the organizational configuration management process?,Yes,Comment is required,,
CORL,System Data Integrity,Malicious Code Protection,"Do you have an anti-virus running with current updated virus definition (DAT) files? If yes, please provide the name of the anti-virus solutiion utilize in the comments section.",Yes,ClamXAV,,
CORL,System Data Integrity,,Are the DAT files updated regularly?,Yes,Comment is required,,
CORL,System Data Integrity,,Is the information system and its components periodically scanned for malicious code?,Yes,Every 24 Hrs,,
CORL,System Data Integrity,,Are the administrators notified and do they respond to malicious code detections?,Yes,Comment is required,,
CORL,System Data Integrity,Information System Monitoring,"Is the information system monitored to detect attacks, potential attacks, and unauthorized use? (This can be done through audit activity in real time, monitoring devices, or applications such as Tripwire or SiteScope.)",Yes,SIEM is implemented by ClearDATA. Attacks are monitored with threat inteligence and we are alerted,,
CORL,System Data Integrity,"Security Alerts, Advisories, and Directives","Does the team  receive or subscribe to external security alerts, listservs, etc. related to the information system? (For instance, does the vendor notify you of security issues with an application?)",Yes,Comment is required,,
CORL,System Data Integrity,,"Does the team generate and disseminate internal security alerts, advisories, and directives as deemed necessary?",Yes,Comment is required,,
CORL,System Data Integrity,"Software, Firmware, and Information
Integrity","Are integrity verification tools used to detect unauthorized changes to software, firmware, and information?  (E.g., Tripwire)",Yes,Comment is required,,
CORL,System Data Integrity,Spam Protection,Are spam protection mechanisms in place and updated as needed?,Yes,Comment is required,,
CORL,System Data Integrity,Information Handling and Retention,"Is information within and output from the system retained for the amount of time as required by data policies and regulations? (This includes paper copies, CDs, DVDs, and flash drives.)",Yes,Comment is required,,
